date,positive,negative,neutral,polaridade
2013-01-01,0.4519230769230769,0.18269230769230768,0.36538461538461536,0.42424242424242425
2013-01-02,0.5,0.19090909090909092,0.3090909090909091,0.4473684210526316
2013-01-03,0.5225225225225225,0.17117117117117117,0.3063063063063063,0.5064935064935064
2013-01-04,0.4017857142857143,0.17857142857142858,0.41964285714285715,0.38461538461538464
2013-01-05,0.5531914893617021,0.0851063829787234,0.3617021276595745,0.7333333333333333
2013-01-06,0.47572815533980584,0.1553398058252427,0.36893203883495146,0.5076923076923077
2013-01-07,0.39622641509433965,0.24528301886792453,0.3584905660377358,0.23529411764705882
2013-01-08,0.4365079365079365,0.1746031746031746,0.3888888888888889,0.42857142857142855
2013-01-09,0.472,0.24,0.288,0.3258426966292135
2013-01-10,0.4,0.21,0.39,0.3114754098360656
2013-01-11,0.49038461538461536,0.20192307692307693,0.3076923076923077,0.4166666666666667
2013-01-12,0.453781512605042,0.18487394957983194,0.36134453781512604,0.42105263157894735
2013-01-13,0.3711340206185567,0.28865979381443296,0.3402061855670103,0.125
2013-01-14,0.452991452991453,0.19658119658119658,0.3504273504273504,0.39473684210526316
2013-01-15,0.391304347826087,0.1391304347826087,0.46956521739130436,0.47540983606557374
2013-01-16,0.38235294117647056,0.21568627450980393,0.4019607843137255,0.2786885245901639
2013-01-17,0.39814814814814814,0.2222222222222222,0.37962962962962965,0.2835820895522388
2013-01-18,0.4716981132075472,0.16037735849056603,0.36792452830188677,0.4925373134328358
2013-01-19,0.5478260869565217,0.11304347826086956,0.3391304347826087,0.6578947368421053
2013-01-20,0.44680851063829785,0.1595744680851064,0.39361702127659576,0.47368421052631576
2013-01-21,0.5,0.19444444444444445,0.3055555555555556,0.44
2013-01-22,0.5309734513274337,0.22123893805309736,0.24778761061946902,0.4117647058823529
2013-01-23,0.375,0.125,0.5,0.5
2013-01-24,0.47413793103448276,0.10344827586206896,0.4224137931034483,0.6417910447761194
2013-01-25,0.5412844036697247,0.11926605504587157,0.3394495412844037,0.6388888888888888
2013-01-26,0.4148936170212766,0.0851063829787234,0.5,0.6595744680851063
2013-01-27,0.46078431372549017,0.20588235294117646,0.3333333333333333,0.38235294117647056
2013-01-28,0.4326923076923077,0.21153846153846154,0.3557692307692308,0.34328358208955223
2013-01-29,0.5148514851485149,0.1782178217821782,0.3069306930693069,0.4857142857142857
2013-01-30,0.40594059405940597,0.2871287128712871,0.3069306930693069,0.17142857142857143
2013-01-31,0.46153846153846156,0.21367521367521367,0.3247863247863248,0.3670886075949367
2013-02-01,0.319672131147541,0.12295081967213115,0.5573770491803278,0.4444444444444444
2013-02-02,0.41237113402061853,0.1134020618556701,0.4742268041237113,0.5686274509803921
